confirmed_id,country,date,confirmed_total
572,Jamaica,1/25/20,0
573,Cambodia,1/25/20,0
574,Argentina,1/25/20,0
575,Costa Rica,1/25/20,0
576,Malaysia,1/25/20,3
577,Senegal,1/25/20,0
578,Congo (Kinshasa),1/25/20,0
579,Belize,1/25/20,0
580,Andorra,1/25/20,0
581,Madagascar,1/25/20,0
582,Bahrain,1/25/20,0
583,Hungary,1/25/20,0
584,Haiti,1/25/20,0
585,Equatorial Guinea,1/25/20,0
586,Romania,1/25/20,0
587,Bosnia and Herzegovina,1/25/20,0
588,MauritiUnited States,1/25/20,0
589,Honduras,1/25/20,0
590,Saudi Arabia,1/25/20,0
591,Barbados,1/25/20,0
592,Sao Tome and Principe,1/25/20,0
593,Somalia,1/25/20,0
594,Sri Lanka,1/25/20,0
595,Saint Vincent and the Grenadines,1/25/20,0
596,Thailand,1/25/20,7
597,Dominican Republic,1/25/20,0
598,Bhutan,1/25/20,0
599,Serbia,1/25/20,0
600,AUnited Statestralia,1/25/20,0
601,Burma,1/25/20,0
602, Republic of,1/25/20,2
603,Mexico,1/25/20,0
604,Oman,1/25/20,0
605,Pakistan,1/25/20,0
606,Ireland,1/25/20,0
607,South Africa,1/25/20,0
608,Turkey,1/25/20,0
609,RUnited Statessia,1/25/20,0
610,Bahamas,1/25/20,0
611,Malawi,1/25/20,0
612,Netherlands,1/25/20,0
613,Lao People's Democratic Republic,1/25/20,0
614,Belgium,1/25/20,0
615,Uzbekistan,1/25/20,0
616,Panama,1/25/20,0
617,Burkina Faso,1/25/20,0
618,Morocco,1/25/20,0
619,Kosovo,1/25/20,0
620,Libyan Arab Jamahiriya,1/25/20,0
621,Guinea-Bissau,1/25/20,0
622,Philippines,1/25/20,0
623,Maldives,1/25/20,0
624,Brunei,1/25/20,0
625,The former Yugoslav Republic of Macedonia,1/25/20,0
626,Azerbaijan,1/25/20,0
627,West Bank and Gaza,1/25/20,0
628,Luxembourg,1/25/20,0
629,Sweden,1/25/20,0
630,Czech Republic,1/25/20,0
631,Venezuela,1/25/20,0
632,Djibouti,1/25/20,0
633,Montenegro,1/25/20,0
634,Papua New Guinea,1/25/20,0
635,Algeria,1/25/20,0
636,Albania,1/25/20,0
637,Nicaragua,1/25/20,0
638,Kenya,1/25/20,0
639,Botswana,1/25/20,0
640,Grenada,1/25/20,0
641,Bangladesh,1/25/20,0
642,Slovakia,1/25/20,0
643,Georgia,1/25/20,0
644,Central African Republic,1/25/20,0
645,New Zealand,1/25/20,0
646,Benin,1/25/20,0
647,Lesotho,1/25/20,0
648,Gambia,1/25/20,0
649,Guatemala,1/25/20,0
650,Kuwait,1/25/20,0
651,Uganda,1/25/20,0
652,Greece,1/25/20,0
653,Mozambique,1/25/20,0
654,Nigeria,1/25/20,0
655,Fiji,1/25/20,0
656,Mauritania,1/25/20,0
657,Italy,1/25/20,0
658,Diamond Princess,1/25/20,0
659,Eritrea,1/25/20,0
660,Kazakhstan,1/25/20,0
661,Eswatini,1/25/20,0
662,Germany,1/25/20,0
663,Monaco,1/25/20,0
664,Croatia,1/25/20,0
665,France,1/25/20,3
666,Chile,1/25/20,0
667,United Arab Emirates,1/25/20,0
668,Togo,1/25/20,0
669,Syrian Arab Republic,1/25/20,0
670,Antigua and Barbuda,1/25/20,0
671,Denmark,1/25/20,0
672,Seychelles,1/25/20,0
673,Sudan,1/25/20,0
674,AUnited Statestria,1/25/20,0
675,Cape Verde,1/25/20,0
676,Namibia,1/25/20,0
677,South Sudan,1/25/20,0
678,San Marino,1/25/20,0
679,Iceland,1/25/20,0
680,Peru,1/25/20,0
681,Israel,1/25/20,0
682,Egypt,1/25/20,0
683,Spain,1/25/20,0
684,Dominica,1/25/20,0
685,Nepal,1/25/20,1
686,Jordan,1/25/20,0
687,Trinidad and Tobago,1/25/20,0
688,Guyana,1/25/20,0
689,Cameroon,1/25/20,0
690,Cote d'Ivoire,1/25/20,0
691,Liberia,1/25/20,0
692,Lithuania,1/25/20,0
693,Niger,1/25/20,0
694,Uruguay,1/25/20,0
695,Cuba,1/25/20,0
696,Ecuador,1/25/20,0
697,Mali,1/25/20,0
698,Indonesia,1/25/20,0
699,Gabon,1/25/20,0
700,BelarUnited States,1/25/20,0
701,Armenia,1/25/20,0
702,Saint Lucia,1/25/20,0
703,Latvia,1/25/20,0
704,Malta,1/25/20,0
705,Comoros,1/25/20,0
706,Viet Nam,1/25/20,2
707,Ghana,1/25/20,0
708,Paraguay,1/25/20,0
709,MS Zaandam,1/25/20,0
710,Estonia,1/25/20,0
711,Brazil,1/25/20,0
712,El Salvador,1/25/20,0
713,Tajikistan,1/25/20,0
714,Switzerland,1/25/20,0
715,Poland,1/25/20,0
716,India,1/25/20,0
717,Burundi,1/25/20,0
718,Chad,1/25/20,0
719,Ukraine,1/25/20,0
720,Rwanda,1/25/20,0
721,Yemen,1/25/20,0
722,Afghanistan,1/25/20,0
723,Kyrgyzstan,1/25/20,0
724,Tunisia,1/25/20,0
725,Singapore,1/25/20,3
726,Zimbabwe,1/25/20,0
727,Angola,1/25/20,0
728,Guinea,1/25/20,0
729,Sierra Leone,1/25/20,0
730,United Kingdom,1/25/20,0
731,Canada,1/25/20,0
732,China,1/25/20,1406
733,Timor-Leste,1/25/20,0
734,Lebanon,1/25/20,0
735,United Republic of Tanzania,1/25/20,0
736,Iraq,1/25/20,0
737,CyprUnited States,1/25/20,0
738,Holy See (Vatican City),1/25/20,0
739,Saint Kitts and Nevis,1/25/20,0
740,Western Sahara,1/25/20,0
741,Norway,1/25/20,0
742,Bulgaria,1/25/20,0
743,Qatar,1/25/20,0
744,Suriname,1/25/20,0
745,Portugal,1/25/20,0
746,Liechtenstein,1/25/20,0
747,Finland,1/25/20,0
748,Slovenia,1/26/20,0
749,United States,1/26/20,5
750,Ethiopia,1/26/20,0
751,Iran (Islamic Republic of),1/26/20,0
752,Bolivia,1/26/20,0
753,Colombia,1/26/20,0
754,Republic of Moldova,1/26/20,0
755,Japan,1/26/20,4
756,Mongolia,1/26/20,0
757,Zambia,1/26/20,0
758,Taiwan,1/26/20,4
759,Jamaica,1/26/20,0
760,Cambodia,1/26/20,0
761,Argentina,1/26/20,0
762,Costa Rica,1/26/20,0
763,Malaysia,1/26/20,4
764,Senegal,1/26/20,0
765,Congo (Kinshasa),1/26/20,0
766,Belize,1/26/20,0
767,Andorra,1/26/20,0
768,Madagascar,1/26/20,0
769,Bahrain,1/26/20,0
770,Hungary,1/26/20,0
771,Haiti,1/26/20,0
772,Equatorial Guinea,1/26/20,0
773,Romania,1/26/20,0
774,Bosnia and Herzegovina,1/26/20,0
775,MauritiUnited States,1/26/20,0
776,Honduras,1/26/20,0
777,Saudi Arabia,1/26/20,0
778,Barbados,1/26/20,0
779,Sao Tome and Principe,1/26/20,0
780,Somalia,1/26/20,0
781,Sri Lanka,1/26/20,0
782,Saint Vincent and the Grenadines,1/26/20,0
783,Thailand,1/26/20,8
784,Dominican Republic,1/26/20,0
785,Bhutan,1/26/20,0
786,Serbia,1/26/20,0
787,AUnited Statestralia,1/26/20,4
788,Burma,1/26/20,0
789, Republic of,1/26/20,3
790,Mexico,1/26/20,0
791,Oman,1/26/20,0
792,Pakistan,1/26/20,0
793,Ireland,1/26/20,0
794,South Africa,1/26/20,0
795,Turkey,1/26/20,0
796,RUnited Statessia,1/26/20,0
797,Bahamas,1/26/20,0
798,Malawi,1/26/20,0
799,Netherlands,1/26/20,0
800,Lao People's Democratic Republic,1/26/20,0
801,Belgium,1/26/20,0
802,Uzbekistan,1/26/20,0
803,Panama,1/26/20,0
